file_name,dispatch_count,sp_call_count,matched_dispatch,network_score,public_action_count,injected_dep_count,async_action_count,sp_names
Ctrl019Controller.cs,3,"2,6",3,7,8,0,5,CORP.PKG_011.SP_011_149|CORP.PKG_011.SP_011_140|CORP.PKG_011.SP_011_132|CORP.PKG_011.SP_011_127|CORP.PKG_011.SP_011_129|CORP.PKG_011.SP_011_130|CORP.PKG_011.SP_011_131
Ctrl020Controller.cs,5,5,5,0,6,0,0,CORP.PKG_010.SP_010_018|CORP.PKG_009.SP_009_045|CORP.PKG_009.SP_009_046|CORP.PKG_009.SP_009_048|CORP.PKG_009.SP_009_047
Ctrl021Controller.cs,8,"7,2",8,0,1,0,0,CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002|CORP.PKG_009.SP_009_039|CORP.PKG_009.SP_009_040|CORP.PKG_009.SP_009_041|CORP.PKG_009.SP_009_042|CORP.PKG_009.SP_009_043|CORP.PKG_011.SP_011_146|CORP.PKG_012.SP_012_017|CORP.PKG_012.SP_012_018|CORP.PKG_012.SP_012_007|CORP.PKG_012.SP_012_002|CORP.PKG_012.SP_012_003|CORP.PKG_012.SP_012_006|CORP.PKG_012.SP_012_024|CORP.PKG_012.SP_012_008|CORP.PKG_012.SP_012_012|CORP.PKG_012.SP_012_020|CORP.PKG_009.SP_009_031|CORP.PKG_012.SP_012_025|CORP.PKG_012.SP_012_026|CORP.PKG_012.SP_012_027|CORP.PKG_012.SP_012_053|CORP.PKG_012.SP_012_052|CORP.PKG_012.SP_012_040|CORP.PKG_012.SP_012_051|CORP.PKG_012.SP_012_042
Ctrl022Controller.cs,14,"5,8",14,0,13,0,0,CORP.PKG_011.SP_011_146|CORP.PKG_012.SP_012_017|CORP.PKG_012.SP_012_018|CORP.PKG_012.SP_012_007|CORP.PKG_012.SP_012_002|CORP.PKG_012.SP_012_003|CORP.PKG_012.SP_012_006|CORP.PKG_012.SP_012_004|CORP.PKG_012.SP_012_044|CORP.PKG_012.SP_012_045|CORP.PKG_012.SP_012_048|CORP.PKG_012.SP_012_046|CORP.PKG_012.SP_012_054|CORP.PKG_012.SP_012_049|CORP.PKG_012.SP_012_050|CORP.PKG_012.SP_012_056|CORP.PKG_012.SP_012_047
Ctrl023Controller.cs,2,2,2,0,2,0,0,CORP.PKG_009.SP_009_013|CORP.PKG_009.SP_009_014|CORP.PKG_009.SP_009_022|CORP.PKG_008.SP_008_004|CORP.PKG_009.SP_009_012
Ctrl024Controller.cs,3,3,3,0,2,0,0,CORP.PKG_013.SP_013_004|CORP.PKG_013.SP_013_003|CORP.PKG_005.SP_005_010|CORP.PKG_014.SP_014_001|CORP.PKG_014.SP_014_002|CORP.PKG_014.SP_014_011|CORP.PKG_014.SP_014_004|CORP.PKG_014.SP_014_008|CORP.PKG_014.SP_014_010|CORP.PKG_014.SP_014_005|CORP.PKG_014.SP_014_007|CORP.PKG_014.SP_014_006
Ctrl025Controller.cs,4,4,4,0,2,0,0,CORP.PKG_011.SP_011_047|CORP.PKG_011.SP_011_055|CORP.PKG_011.SP_011_062|CORP.PKG_011.SP_011_061|CORP.PKG_011.SP_011_054|CORP.PKG_011.SP_011_100
Ctrl026Controller.cs,0,0,0,0,1,0,0,
Ctrl027Controller.cs,8,8,8,0,8,0,0,CORP.PKG_009.SP_009_086|CORP.PKG_009.SP_009_090|CORP.PKG_009.SP_009_095|CORP.PKG_009.SP_009_087|CORP.PKG_009.SP_009_091|CORP.PKG_009.SP_009_088|CORP.PKG_009.SP_009_089
Ctrl028Controller.cs,3,2,2,0,2,0,0,CORP.PKG_004.SP_004_020|CORP.PKG_004.SP_004_021
Ctrl029Controller.cs,7,"6,1",7,0,7,0,0,CORP.PKG_009.SP_009_076|CORP.PKG_009.SP_009_063|CORP.PKG_009.SP_009_064|CORP.PKG_009.SP_009_059|CORP.PKG_009.SP_009_060|CORP.PKG_009.SP_009_061|CORP.PKG_009.SP_009_077|CORP.PKG_009.SP_009_078|CORP.PKG_009.SP_009_056|CORP.PKG_009.SP_009_055|CORP.PKG_009.SP_009_057|CORP.PKG_009.SP_009_053|CORP.PKG_009.SP_009_054|CORP.PKG_012.SP_012_057|CORP.PKG_012.SP_012_058|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122
Ctrl030Controller.cs,1,0,0,0,1,0,0,
Ctrl031Controller.cs,2,2,2,0,2,0,0,CORP.PKG_009.SP_009_037
Ctrl032Controller.cs,1,1,1,0,1,0,0,CORP.PKG_025.SP_025_025
Ctrl033Controller.cs,0,0,0,0,1,0,0,
Ctrl034Controller.cs,2,2,2,2,3,0,2,CORP.PKG_011.SP_011_005|CORP.PKG_011.SP_011_023|CORP.PKG_011.SP_011_024|CORP.PKG_011.SP_011_036|CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002
Ctrl035Controller.cs,2,2,2,2,3,0,2,CORP.PKG_011.SP_011_005|CORP.PKG_011.SP_011_023|CORP.PKG_011.SP_011_024|CORP.PKG_011.SP_011_036|CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002
Ctrl036Controller.cs,0,0,0,0,1,0,0,
Ctrl037Controller.cs,3,"1,5",3,0,1,0,0,CORP.PKG_005.SP_005_031|CORP.PKG_005.SP_005_030
Ctrl038Controller.cs,1,1,1,0,1,0,0,CORP.PKG_011.SP_011_115|CORP.PKG_011.SP_011_116
Ctrl039Controller.cs,4,5,4,0,2,0,0,CORP.PKG_026.SP_026_003|CORP.PKG_026.SP_026_001|CORP.PKG_026.SP_026_004|CORP.PKG_026.SP_026_005|CORP.PKG_026.SP_026_002
Ctrl026Controller.cs,13,"8,5",10,0,4,0,0,CORP.PKG_005.SP_005_010|CORP.PKG_014.SP_014_001|CORP.PKG_014.SP_014_002|CORP.PKG_014.SP_014_011|CORP.PKG_014.SP_014_004|CORP.PKG_014.SP_014_008|CORP.PKG_014.SP_014_010|CORP.PKG_014.SP_014_005|CORP.PKG_014.SP_014_007|CORP.PKG_014.SP_014_006|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122|CORP.PKG_005.SP_005_023|CORP.PKG_005.SP_005_004|CORP.PKG_005.SP_005_005|CORP.PKG_011.SP_011_123|CORP.PKG_011.SP_011_001|CORP.PKG_011.SP_011_032
Ctrl040Controller.cs,34,"19,8",25,11,36,0,4,CORP.PKG_012.SP_012_031|CORP.PKG_012.SP_012_032|CORP.PKG_025.SP_025_004|CORP.PKG_009.SP_009_058|CORP.PKG_025.SP_025_008|CORP.PKG_025.SP_025_019|CORP.PKG_025.SP_025_016|CORP.PKG_025.SP_025_027|CORP.PKG_025.SP_025_033|CORP.PKG_025.SP_025_028|CORP.PKG_025.SP_025_031|CORP.PKG_025.SP_025_032|CORP.PKG_025.SP_025_034|CORP.PKG_025.SP_025_030|CORP.PKG_025.SP_025_037|CORP.PKG_025.SP_025_020|CORP.PKG_025.SP_025_011|CORP.PKG_025.SP_025_010|CORP.PKG_005.SP_005_020|CORP.PKG_025.SP_025_036|CORP.PKG_009.SP_009_029|CORP.PKG_010.SP_010_006|CORP.PKG_009.SP_009_030|CORP.PKG_011.SP_011_063|CORP.PKG_011.SP_011_079|CORP.PKG_011.SP_011_124|CORP.PKG_011.SP_011_125|CORP.PKG_009.SP_009_032|CORP.PKG_011.SP_011_047|CORP.PKG_011.SP_011_055|CORP.PKG_011.SP_011_062|CORP.PKG_011.SP_011_061|CORP.PKG_011.SP_011_054|CORP.PKG_011.SP_011_100|CORP.PKG_009.SP_009_011|CORP.PKG_008.SP_008_007|CORP.PKG_008.SP_008_006|CORP.PKG_008.SP_008_008|CORP.PKG_008.SP_008_005|CORP.PKG_009.SP_009_069|CORP.PKG_009.SP_009_038|CORP.PKG_011.SP_011_161|CORP.PKG_011.SP_011_165|CORP.PKG_011.SP_011_166|CORP.PKG_011.SP_011_157|CORP.PKG_011.SP_011_153|CORP.PKG_011.SP_011_154
Ctrl041Controller.cs,1,1,1,0,3,0,0,CORP.PKG_023.SP_023_006
Ctrl042Controller.cs,4,"3,8",4,0,5,0,0,CORP.PKG_011.SP_011_002|CORP.PKG_011.SP_011_015|CORP.PKG_011.SP_011_033|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122
Ctrl043Controller.cs,1,0,1,0,3,0,0,CORP.PKG_023.SP_023_044
Ctrl044Controller.cs,4,4,4,0,4,0,0,CORP.PKG_011.SP_011_012|CORP.PKG_011.SP_011_013|CORP.PKG_011.SP_011_014|CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002
Ctrl045Controller.cs,5,1,5,0,5,0,0,CORP.PKG_011.SP_011_108|CORP.PKG_011.SP_011_107|CORP.PKG_011.SP_011_109|CORP.PKG_011.SP_011_110|CORP.PKG_011.SP_011_111
Ctrl046Controller.cs,4,"2,8",4,0,5,0,0,CORP.PKG_011.SP_011_008|CORP.PKG_011.SP_011_007|CORP.PKG_011.SP_011_011|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122
Ctrl047Controller.cs,0,0,0,0,1,0,0,
Ctrl048Controller.cs,1,1,1,0,2,0,0,CORP.PKG_005.SP_005_033
Ctrl049Controller.cs,1,1,1,0,2,0,0,CORP.PKG_005.SP_005_032
Ctrl050Controller.cs,2,2,2,0,2,0,0,CORP.PKG_006.SP_006_002|CORP.PKG_006.SP_006_003
Ctrl051Controller.cs,4,"3,8",4,0,5,1,0,CORP.PKG_011.SP_011_004|CORP.PKG_011.SP_011_156|CORP.PKG_011.SP_011_021|CORP.PKG_011.SP_011_020|CORP.PKG_011.SP_011_035|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122
Ctrl052Controller.cs,0,0,0,0,1,0,0,
Ctrl053Controller.cs,2,1,2,0,2,0,0,CORP.PKG_023.SP_023_040|CORP.PKG_023.SP_023_039
Ctrl054Controller.cs,3,3,3,0,4,0,0,CORP.PKG_021.SP_021_004|CORP.PKG_021.SP_021_005
Ctrl055Controller.cs,7,7,7,0,6,0,0,CORP.PKG_010.SP_010_011|CORP.PKG_010.SP_010_003|CORP.PKG_004.SP_004_009|CORP.PKG_010.SP_010_001|CORP.PKG_004.SP_004_022|CORP.PKG_010.SP_010_004|CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002|CORP.PKG_010.SP_010_020|CORP.PKG_010.SP_010_021|CORP.PKG_015.SP_015_001|CORP.PKG_015.SP_015_003|CORP.PKG_015.SP_015_004|CORP.PKG_015.SP_015_009|CORP.PKG_015.SP_015_002|CORP.PKG_015.SP_015_008|CORP.PKG_015.SP_015_010|CORP.PKG_015.SP_015_011
Ctrl056Controller.cs,1,1,1,0,1,0,0,CORP.PKG_010.SP_010_011|CORP.PKG_010.SP_010_003|CORP.PKG_004.SP_004_009|CORP.PKG_010.SP_010_001|CORP.PKG_004.SP_004_022
Ctrl057Controller.cs,4,"3,8",4,0,7,0,0,CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002|CORP.PKG_005.SP_005_023|CORP.PKG_005.SP_005_004|CORP.PKG_005.SP_005_005|CORP.PKG_011.SP_011_123
